kind,episode,loss,policy_loss,value_loss,entropy,steps,hpwl_local_end,time_sec
swap,23,19755.187988,,,,80,6257.659838,0.307730
swap,24,313540.687500,,,,80,6656.419878,0.299370
swap,25,188805.746094,,,,80,6495.279848,0.301218
swap,26,43804.395508,,,,80,5786.099840,0.293514
swap,27,8064849.875000,,,,80,6718.299845,0.291728
swap,28,190576.609375,,,,80,6253.319862,0.338393
swap,29,17603.357910,,,,80,6065.619799,0.318465
swap,30,25135.347168,,,,80,6179.559862,0.329104
swap,31,178856.433594,,,,80,6653.079821,0.300150
swap,32,35098.592773,,,,80,6026.719789,0.284919
swap,33,19488.855957,,,,80,6153.019823,0.274497
swap,34,115038.281250,,,,80,6211.639849,0.312957
swap,35,10088025.250000,,,,80,6989.119858,0.411776
swap,36,8836153.250000,,,,80,7471.099848,0.297829
swap,37,114150.419922,,,,80,6740.519846,0.347874
swap,38,221862.769531,,,,80,6703.899858,0.510579
swap,39,62981.481445,,,,80,6414.899820,0.345914
swap,40,7755019.000000,,,,80,6994.559885,0.291524
swap,41,31816.066406,,,,80,5957.759798,0.290538
swap,42,101861.748047,,,,80,6397.339853,0.324047
swap,43,157556.589844,,,,80,6067.939859,0.302600
swap,44,17412.433594,,,,80,6093.219774,0.289865
swap,45,218269.378906,,,,80,7265.159868,0.273959
swap,46,7811986.375000,,,,80,7042.799845,0.282144
swap,47,7913485.875000,,,,80,7224.439840,0.289379
swap,48,27511.646973,,,,80,5888.559832,0.285341
swap,49,35046.202148,,,,80,6092.079851,0.279614
swap,50,19797.126465,,,,80,6250.299807,0.270432
swap,51,28713.403320,,,,80,6102.599855,0.283148
swap,52,17480.100586,,,,80,6040.319780,0.292395
swap,53,31342.226562,,,,80,6080.739840,0.300962
swap,54,8364857.500000,,,,80,7239.739840,0.305035
swap,55,84135.574219,,,,80,6437.239878,0.336986
swap,56,197586.875000,,,,80,6566.619829,0.315524
swap,57,120262.328125,,,,80,6280.299782,0.310560
swap,58,17711.749512,,,,80,6040.319780,0.280400
swap,59,91298.875000,,,,80,6223.739815,0.331884
swap,60,144096.375000,,,,80,6298.019876,0.320614
swap,1,33634.552734,,,,80,3519.709980,0.266971
swap,2,28359.922363,,,,80,3475.949929,0.300514
swap,3,23788.440430,,,,80,3476.369961,0.275579
swap,4,23025.725586,,,,80,3513.229972,0.294635
swap,5,25614.496094,,,,80,3448.770022,0.286971
swap,6,26597.548828,,,,80,3387.729972,0.277452
swap,7,26979.940430,,,,80,3502.609977,0.274215
swap,8,29500.916504,,,,80,3524.169893,0.268535
swap,9,22114.854492,,,,80,3387.729972,0.279178
swap,10,20391.723633,,,,80,3387.729972,0.273533
swap,11,24113.078125,,,,80,3576.470077,0.268840
swap,12,16141.692871,,,,80,3478.629992,0.292616
swap,13,13487.182861,,,,80,3387.729972,0.282818
swap,14,11196.661133,,,,80,3387.729972,0.286863
swap,15,10915.844482,,,,80,3371.810012,0.306265
swap,16,11005.286621,,,,80,3436.669951,0.319916
swap,17,6463.718628,,,,80,3387.729972,0.338938
swap,18,6701.856079,,,,80,3387.729972,0.401029
swap,19,16241.635010,,,,80,3669.949993,0.331821
swap,20,7962.505005,,,,80,3532.230040,0.301790
swap,21,5088.699585,,,,80,3387.729972,0.269835
swap,22,6335.206665,,,,80,3387.729972,0.242745
swap,23,4156.074341,,,,80,3475.949990,0.247755
swap,24,438.100845,,,,80,3387.729972,0.289723
swap,25,150.396280,,,,80,3404.729930,0.267050
swap,26,948.075180,,,,80,3418.729988,0.234718
