cell_name,site_id,x_um,y_um
$abc$9276$auto$blifparse.cc:396:parse_blif$10074,644,390.6,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10075,640,381.86,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10076,641,384.16,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10077,73137,471.34,497.52
$abc$9276$auto$blifparse.cc:396:parse_blif$10078,120975,584.36,821.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10079,110237,512.36,747.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10080,110236,510.06,747.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10081,682,389.22,13.16
$abc$9276$auto$blifparse.cc:396:parse_blif$10082,1348,777.66,10.44
$abc$9276$auto$blifparse.cc:396:parse_blif$10083,1167,663.26,13.16
$abc$9276$auto$blifparse.cc:396:parse_blif$10084,1164,686.26,10.44
$abc$9276$auto$blifparse.cc:396:parse_blif$10085,1116,659.96,10.44
$abc$9276$auto$blifparse.cc:396:parse_blif$10086,1200,691.4,10.44
$abc$9276$auto$blifparse.cc:396:parse_blif$10087,1190,691.4,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10088,1191,691.86,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10089,1115,657.66,10.44
$abc$9276$auto$blifparse.cc:396:parse_blif$10090,902,531.76,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10091,1130,667.86,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10092,905,535.44,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10093,904,534.06,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10094,110412,606.06,744.28
$abc$9276$auto$blifparse.cc:396:parse_blif$10095,73243,543.26,497.52
$abc$9276$auto$blifparse.cc:396:parse_blif$10096,110325,550.7,747.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10097,110326,552.54,747.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10098,1689,993.04,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10099,1383,826.96,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10100,1533,891.6,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10101,4677,677.06,31.48
$abc$9276$auto$blifparse.cc:396:parse_blif$10102,1156,671.54,10.44
$abc$9276$auto$blifparse.cc:396:parse_blif$10103,1506,884.16,10.44
$abc$9276$auto$blifparse.cc:396:parse_blif$10104,1434,860.16,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10105,1519,891.6,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10106,1482,886.46,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10107,1481,884.16,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10108,1433,857.86,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10109,1483,888.76,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10110,1323,777.2,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10111,1439,841.3,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10112,1178,694.16,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10113,1179,696.46,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10114,73389,626.76,497.52
$abc$9276$auto$blifparse.cc:396:parse_blif$10115,147893,884.16,991.04
$abc$9276$auto$blifparse.cc:396:parse_blif$10116,110386,602.76,747.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10117,110381,591.26,747.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10118,1677,998.56,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10119,1325,779.96,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10120,1678,1000.86,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10121,1162,681.66,10.44
$abc$9276$auto$blifparse.cc:396:parse_blif$10122,1385,831.56,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10123,1703,1000.86,10.44
